Name,MBID,URL,Image Small,Image
Duca,cfb6f910-9d7b-4d78-aa7c-1cb80d1e3fae,https://www.last.fm/music/Duca,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Buffalo Daughter,c71ae637-cbc5-4f57-9c1a-38d691bd3c43,https://www.last.fm/music/Buffalo+Daughter,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Ephel Duath,ed133bc8-a6f0-4ca4-ba3a-02dd843fe0e7,https://www.last.fm/music/Ephel+Duath,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Dualizm,,https://www.last.fm/music/Dualizm,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
All Sons & Daughters,c3fd83bf-8697-4348-bd96-1ef5b87ad96a,https://www.last.fm/music/All+Sons+&+Daughters,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Federico Durand,8605672d-18f0-4453-8b5d-43c236527e17,https://www.last.fm/music/Federico+Durand,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Dual Sessions,24bf58d4-e2e7-4dae-b147-cf0b63f55423,https://www.last.fm/music/Dual+Sessions,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Shu-bi-dua,593a075e-b697-41c3-8cb5-3a8730958cfb,https://www.last.fm/music/Shu-bi-dua,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
artistName1,,,,
Mahdi Ba,,https://www.last.fm/music/Mahdi+Ba,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Mahdi Chishty,,https://www.last.fm/music/Mahdi+Chishty,,
Mahdiyunglegend,,https://www.last.fm/music/Mahdiyunglegend,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Mahdi Rasouli,,https://www.last.fm/music/Mahdi+Rasouli,,
Mahdi,,https://www.last.fm/music/Mahdi,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Alireza Mahdiloo,,https://www.last.fm/music/Alireza+Mahdiloo,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
MahdiBaTV,,https://www.last.fm/music/MahdiBaTV,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
Mahdieh Mohammadkhani,,https://www.last.fm/music/Mahdieh+Mohammadkhani,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
